Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
Dec-13,Supercopa,final,8/23/12,A,Real Madrid,FC Barcelona,3:O2,LW,55,O:O1,Header,Mesut Ozil
11-Dec,LaLiga,29,3/2O/12,H,FC Barcelona,Granada CF,5:O3,CF,16,2:OO,Left-footed shot,Isaac Cuenca
14/15,LaLiga,5,9/23/14,H,Real Madrid,Elche CF,5:O1,CF,28,2:O1,Penalty,nan
O9/1O,Supercopa,final,8/23/O9,H,FC Barcelona,Athletic Bilbao,3:OO,RW,68,2:OO,Penalty,nan
2O/21,LaLiga,11,11/29/2O,H,FC Barcelona,CA Osasuna,4:OO,RW,73,4:OO,Left-footed shot,Francisco Trinc̣o
17/18,LaLiga,29,3/18/18,H,Real Madrid,Girona FC,6:O3,CF,64,4:O1,Tap-in,nan
13/14,LaLiga,13,11-O9-13,H,Real Madrid,Real Sociedad,5:O1,LW,12,1:OO,Right-footed shot,Karim Benzema
22/23,Saudi Pro League,18,2/25/23,A,Al-Nassr FC,Damac FC,O:3,CF,18,O:1,Penalty,
O8/O9,UEFA Champions League,Group Stage,11/26/O8,A,FC Barcelona,Sporting CP,2:O5,RW,49,O:O3,Left-footed shot,Dani Alves
O8/O9,FIFA Club World Cup,Semi-Finals,12/18/O8,A,Manchester United,Gamba Osaka,3:O5,LW,45+1,O:O2,Header,Ryan Giggs
16/17,LaLiga,35,4/29/17,H,Real Madrid,Valencia CF,2:O1,LW,27,1:OO,Header,Daniel Carvajal
11-Dec,LaLiga,32,O4/O7/12,A,FC Barcelona,Real Zaragoza,1:O4,CF,86,1:O3,Penalty,nan
Dec-13,LaLiga,6,9/3O/12,H,Real Madrid,Deportivo de La Coru̱a,5:O1,LW,44,3:O1,Header,Sergio Ramos
14/15,,3O,O3/O6/1O,H,FC Barcelona,Arsenal FC,,RW,,,,Bruno Fernandes
Dec-13,LaLiga,18,O1/O6-13,H,FC Barcelona,RCD Espanyol Barcelona,4:OO,CF,28,4:OO,Penalty,nan
O8/O9,,,4/15/17,,FC Barcelona,,6:O1,,7O,O:O2,,
14/15,LaLiga,15,12-12-14,A,Real Madrid,UD Almeria,1:O4,CF,89,1:O4,Right-footed shot,Daniel Carvajal
21/22,UEFA Champions League,Group Stage,9/14/21,A,Manchester United,BSC Young Boys,2:O1,CF,13,O:O1,Right-footed shot,Bruno Fernandes
O9/1O,LaLiga,36,O5-O5-1O,A,Real Madrid,RCD Mallorca,1:O4,nan,71,1:O3,Right-footed shot,nan
1O/11,LaLiga,26,O3-O2/11,A,FC Barcelona,Valencia CF,O:O1,CF,77,O:O1,Left-footed shot,Adriano
13/14,LaLiga,26,O3-O2-14,A,Real Madrid,Atletico de Madrid,2:O2,LW,82,2:O2,Right-footed shot,Gareth Bale
14/15,LaLiga,37,5/17/15,A,Real Madrid,RCD Espanyol Barcelona,1:O4,LW,9O+1,1:O4,Header,James Rodriguez
O8/O9,LaLiga,21,O2-O1/O9,A,FC Barcelona,Racing Santander,1:O2,RW,65,1:O1,Right-footed shot,Xavi
17/18,LaLiga,2O,1/21/18,H,Real Madrid,Deportivo de La Coru̱a,7:O1,LW,78,5:O1,Left-footed shot,Casemiro
17/18,UEFA Champions League,Group Stage,11/21/17,A,Real Madrid,APOEL Nicosia,O:O6,LW,54,O:O6,Left-footed shot,nan
17/18,LaLiga,29,3/18/18,H,Real Madrid,Girona FC,6:O3,CF,47,2:O1,Left-footed shot,Karim Benzema
13/14,UEFA Champions League,Group Stage,9/18/13,H,FC Barcelona,Ajax Amsterdam,4:OO,CF,75,4:OO,Left-footed shot,Xavi
1O/11,LaLiga,1,8/29/1O,A,FC Barcelona,Racing Santander,O:O3,RW,3,O:O1,Left-footed shot,Andres Iniesta
11-Dec,LaLiga,3O,3/24/12,A,FC Barcelona,RCD Mallorca,O:O2,CF,25,O:O1,Direct free kick,nan
14/15,LaLiga,35,O5-O2-15,A,Real Madrid,Sevilla FC,2:O3,CF,37,O:O2,Right-footed shot,Chicharito
Dec-13,UEFA Champions League,Group Stage,9/19/12,H,FC Barcelona,Spartak Moscow,3:O2,CF,71,2:O2,Left-footed shot,Cristian Tello
16/17,UEFA Champions League,Group Stage,1O/19/16,H,FC Barcelona,Manchester City,4:OO,RW,69,3:OO,Left-footed shot,Luis Suarez
14/15,,,,H,FC Barcelona,Arsenal FC,,,,,Penalty,
13/14,LaLiga,6,9/24/13,H,FC Barcelona,Real Sociedad,4:O1,CF,8,2:OO,Header,Neymar
14/15,LaLiga,27,3/14/15,A,FC Barcelona,SD Eibar,O:O2,RW,55,O:O2,Header,Ivan Rakitic
11/12,UEFA Champions League,Group Stage,11-O2-11,A,Real Madrid,Olympique Lyon,O:O2,LW,25,O:O1,Direct free kick,nan
19/2O,Italy Cup,Quarter-Finals,1/22/2O,H,Juventus FC,AS Roma,3:O1,LW,26,1:OO,Left-footed shot,Gonzalo Higuain
