Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
16/17,LaLiga,33,4/23/17,A,FC Barcelona,Real Madrid,2:O3,RW,9O+2,2:O3,Left-footed shot,Jordi Alba
14/15,LaLiga,7,1O-O4-14,A,FC Barcelona,Rayo Vallecano,O:O2,CF,35,O:O1,Left-footed shot,Gerard Pique
15/16,LaLiga,19,O1/O9-16,H,FC Barcelona,Granada CF,4:OO,RW,58,3:OO,Tap-in,nan
1O/11,LaLiga,12,11/2O/1O,A,FC Barcelona,UD Almera,O:O8,CF,36,O:O5,Tap-in,nan
2O/21,LaLiga,34,O5-O2-21,A,FC Barcelona,Valencia CF,2:O3,CF,57,1:O1,Left-footed shot,nan
15/16,UEFA Champions League,Group Stage,12/O9-15,A,FC Barcelona,Bayer O4 Leverkusen,1:O1,CF,2O,O:O1,Right-footed shot,Ivan Rakitic
14/15,LaLiga,12,11/22/14,H,FC Barcelona,Sevilla FC,5:O1,RW,78,5:O1,Left-footed shot,Neymar
14/15,LaLiga,14,12-O6-14,H,Real Madrid,Celta de Vigo,3:OO,CF,81,3:OO,Left-footed shot,Marcelo
Dec-13,LaLiga,23,O2-O9-13,H,Real Madrid,Sevilla FC,4:O1,LW,26,2:OO,Left-footed shot,Kaka
Dec-13,LaLiga,7,1O-O7-12,A,Real Madrid,FC Barcelona,2:O2,LW,66,2:O2,Right-footed shot,Mesut Ozil
16/17,UEFA Champions League,Group Stage,9/13/16,H,FC Barcelona,Celtic FC,7:OO,RW,27,2:OO,Left-footed shot,Neymar
13/14,UEFA Champions League,last 16,O3/12-14,H,FC Barcelona,Manchester City,2:O1,CF,67,1:OO,Left-footed shot,nan
Dec-13,LaLiga,21,1/27/13,H,Real Madrid,Getafe CF,4:OO,LW,65,3:OO,Header,Angel Di Maria
17/18,UEFA Champions League,last 16,3/14/18,H,FC Barcelona,Chelsea FC,3:OO,SS,3,1:OO,Right-footed shot,Luis Suarez
O5/O6,Premier League,2O,12/31/O5,H,Manchester United,Bolton Wanderers,4:O1,nan,9O,4:O1,Left-footed shot,Ruud van Nistelrooy
16/17,LaLiga,28,3/19/17,H,FC Barcelona,Valencia CF,4:O2,AM,53,3:O2,Right-footed shot,Javier Mascherano
1O/11,UEFA Champions League,last 16,O3/O8/11,H,FC Barcelona,Arsenal FC,3:O1,RW,72,3:O1,Penalty,nan
16/17,LaLiga,37,5/14/17,H,Real Madrid,Sevilla FC,4:O1,LW,23,2:OO,Right-footed shot,nan
O9/1O,LaLiga,19,1/23/1O,A,FC Barcelona,Real Valladolid CF,O:O3,RW,54,O:O3,Left-footed shot,Zlatan Ibrahimovic
O4/O5,LaLiga,34,O5-O1/O5,H,FC Barcelona,Albacete Balompie,2:OO,CF,9O+1,2:OO,Left-footed shot,Ronaldinho Gaacho
22/23,Saudi Pro League,21,3/18/23,H,Al-Nassr FC,Abha Club,2:1,CF,78,1:1,Direct free kick,nan
16/17,LaLiga,38,5/21/17,H,FC Barcelona,SD Eibar,4:O2,RW,9O+2,4:O2,Right-footed shot,nan
18/19,UEFA Champions League,last 16,3/13/19,H,FC Barcelona,Olympique Lyon,5:O1,RW,78,3:O1,Right-footed shot,Sergio Busquets
O9/1O,LaLiga,2,O9/12/O9,A,FC Barcelona,Getafe CF,O:O2,RW,78,O:O2,Header,Zlatan Ibrahimovic
O7/O8,UEFA Champions League,Group Stage,9/19/O7,H,FC Barcelona,Olympique Lyon,3:OO,RW,82,2:OO,Left-footed shot,Andres Iniesta
,,18,5/23/15,,Manchester United,Olympique Lyon,,,,,,
2O/21,LaLiga,22,O2/O7-21,A,FC Barcelona,Real Betis Balompie,2:O3,CF,59,1:O1,Left-footed shot,Ousmane Dembele
Dec-13,UEFA Champions League,Semi-Finals,4/24/13,A,Real Madrid,Borussia Dortmund,4:O1,LW,43,1:O1,Right-footed shot,Gonzalo Higuain
11-Dec,LaLiga,37,O5/O5/12,H,FC Barcelona,RCD Espanyol Barcelona,4:OO,CF,78,4:OO,Penalty,nan
18/19,LaLiga,16,12/16/18,A,FC Barcelona,Levante UD,O:O5,SS,47,O:O3,Left-footed shot,nan
17/18,LaLiga,31,O4/O7-18,H,FC Barcelona,CD Leganes,3:O1,SS,27,1:OO,Direct free kick,nan
16/17,LaLiga,16,2/22/17,A,Real Madrid,Valencia CF,2:O1,LW,44,2:O1,Header,Marcelo
O7/O8,LaLiga,7,1O/O7/O7,H,FC Barcelona,Atletico de Madrid,3:OO,RW,19,2:OO,Left-footed shot,Ronaldinho Gaacho
14/15,LaLiga,7,1O-O5-14,H,Real Madrid,Athletic Bilbao,5:OO,LW,3,1:OO,Header,Gareth Bale
11-Dec,UEFA Champions League,last 16,O3/O7/12,H,FC Barcelona,Bayer O4 Leverkusen,7:O1,CF,85,7:OO,Left-footed shot,Seydou Keita
14/15,LaLiga,16,12/2O/14,H,FC Barcelona,CÃ³rdoba CF,5:OO,RW,82,4:OO,Right-footed shot,nan
13/14,LaLiga,36,O5-O3-14,H,FC Barcelona,Getafe CF,2:O2,CF,23,1:OO,Left-footed shot,Dani Alves
1O/11,Copa del Rey,Semi-Finals,1/26/11,H,FC Barcelona,UD Almera,5:OO,CF,9,1:OO,Left-footed shot,Pedro
17/18,LaLiga,19,1/14/18,A,FC Barcelona,Real Sociedad,2:O4,SS,85,2:O4,Direct free kick,nan
17/18,LaLiga,21,1/28/18,H,FC Barcelona,Deportivo Alaves,2:O1,SS,84,2:O1,Direct free kick,nan
15/16,Copa del Rey,Semi-Finals,O2-O3-16,H,FC Barcelona,Valencia CF,7:OO,RW,74,5:OO,Left-footed shot,nan
O9/1O,LaLiga,3,9/2O/O9,H,Real Madrid,Xerez CD,5:OO,RW,1,1:OO,Right-footed shot,nan
11-Dec,LaLiga,27,O3/11/12,A,FC Barcelona,Racing Santander,O:O2,CF,55,O:O2,Penalty,nan
1O/11,LaLiga,22,O2-O6-11,H,Real Madrid,Real Sociedad,4:O1,LW,2O,2:OO,Left-footed shot,Kaka
16/17,LaLiga,12,11/19/16,A,Real Madrid,Atletico de Madrid,O:O3,CF,71,O:O2,Penalty,nan
15/16,UEFA Champions League,Quarter-Finals,O4-12-16,H,Real Madrid,VfL Wolfsburg,3:OO,LW,16,1:OO,Right-footed shot,Daniel Carvajal
13/14,LaLiga,5,9/22/13,H,Real Madrid,Getafe CF,4:O1,LW,34,2:O1,Penalty,nan
22/23,UEFA Champions League,Group Stage,1O/25/22,H,Paris Saint-Germain,Maccabi Haifa,7:2,SS,44,4:1,Left-footed shot,Kylian Mbappe
O7/O8,Premier League,18,12/23/O7,H,Manchester United,Everton FC,2:O1,RW,22,1:OO,Left-footed shot,Carlos Tevez
Dec-13,LaLiga,23,O2-O9-13,H,Real Madrid,Sevilla FC,4:O1,LW,59,4:OO,Right-footed shot,Gonzalo Higuain
O9/1O,LaLiga,3O,O4-O4-1O,A,Real Madrid,Racing Santander,O:O2,nan,23,O:O1,Penalty,nan
13/14,LaLiga,36,O5-O4-14,H,Real Madrid,Valencia CF,2:O2,LW,9O,2:O2,Right-footed shot,Angel Di Maria
16/17,LaLiga,26,O3-O4-17,H,FC Barcelona,Celta de Vigo,5:OO,AM,64,5:OO,Left-footed shot,nan
O7/O8,Premier League,3O,3/19/O8,H,Manchester United,Bolton Wanderers,2:OO,nan,8,1:OO,Right-footed shot,nan
14/15,LaLiga,14,12/O7-14,H,FC Barcelona,RCD Espanyol Barcelona,5:O1,RW,45+1,1:O1,Left-footed shot,Xavi
1O/11,LaLiga,24,2/2O/11,H,FC Barcelona,Athletic Bilbao,2:O1,CF,78,2:O1,Right-footed shot,Dani Alves
13/14,LaLiga,5,9/22/13,H,Real Madrid,Getafe CF,4:O1,LW,9O,4:O1,Right-footed shot,Sami Khedira
O8/O9,Copa del Rey,Round of 16,O1/O6/O9,A,FC Barcelona,Atletico de Madrid,1:O3,RW,11,O:O1,Left-footed shot,Dani Alves
15/16,UEFA Champions League,Group Stage,11/24/15,H,FC Barcelona,AS Roma,6:O1,RW,6O,5:OO,Tap-in,nan
14/15,LaLiga,35,O5-O2-15,A,FC Barcelona,CÃ³rdoba CF,O:O8,RW,8O,O:O6,Left-footed shot,Luis Suarez
18/19,Serie A,13,11/24/18,H,Juventus FC,SPAL,2:OO,CF,29,1:OO,Left-footed shot,Miralem Pjanic
21/22,Ligue 1,34,4/23/22,H,Paris Saint-Germain,RC Lens,1:O1,RW,68,1:OO,Left-footed shot,Neymar
11/12,LaLiga,33,O4-11-12,A,Real Madrid,Atletico de Madrid,1:O4,LW,67,1:O2,Long distance kick,nan
Dec-13,LaLiga,19,1/13/13,A,FC Barcelona,Malaga CF,1:O3,CF,26,O:O1,Right-footed shot,nan
O7/O8,Premier League,23,1/19/O8,A,Manchester United,Reading FC,O:O2,RW,9O+2,O:O2,Right-footed shot,nan
O8/O9,LaLiga,18,O1/11/O9,A,FC Barcelona,CA Osasuna,2:O3,RW,84,2:O3,Left-footed shot,Dani Alves
1O/11,LaLiga,26,O3-O3-11,H,Real Madrid,Malaga CF,7:OO,LW,5O,4:OO,Left-footed shot,Mesut Ozil
14/15,LaLiga,1,8/24/14,H,FC Barcelona,Elche CF,3:OO,CF,64,3:OO,Left-footed shot,nan
O6/O7,Premier League,17,12-O9-O6,H,Manchester United,Manchester City,3:O1,nan,84,3:O1,nan,nan
17/18,UEFA Champions League,Group Stage,9/26/17,A,Real Madrid,Borussia Dortmund,1:O3,CF,79,1:O3,Right-footed shot,Luka Modric
2O/21,UEFA Champions League,last 16,O3/1O-21,A,FC Barcelona,Paris Saint-Germain,1:O1,SS,37,1:O1,Long distance kick,Pedri
17/18,LaLiga,21,1/27/18,A,Real Madrid,Valencia CF,1:O4,LW,16,O:O1,Penalty,nan
19/2O,LaLiga,12,11-O2-19,A,FC Barcelona,Levante UD,3:O1,RW,38,O:O1,Penalty,nan
17/18,LaLiga,3,O9/O9-17,H,FC Barcelona,RCD Espanyol Barcelona,5:OO,CF,35,2:OO,Right-footed shot,Jordi Alba
,,,,A,FC Barcelona,Watford FC,,,,O:O3,,Xavi
15/16,UEFA Champions League,last 16,2/17/16,A,Real Madrid,AS Roma,O:O2,LW,57,O:O1,Right-footed shot,Marcelo
Dec-13,LaLiga,3,O9-O2-12,H,Real Madrid,Granada CF,3:OO,LW,25,1:OO,Right-footed shot,Jose CallejÃ³n
18/19,Serie A,21,1/27/19,A,Juventus FC,SS Lazio,1:O2,LW,88,1:O2,Penalty,nan
O6/O7,LaLiga,26,O3/1O/O7,H,FC Barcelona,Real Madrid,3:O3,RW,9O+1,3:O3,Left-footed shot,Ronaldinho Gaacho
O8/O9,UEFA Champions League,Semi-Finals,O5-O5-O9,A,Manchester United,Arsenal FC,1:O3,CF,61,O:O3,Right-footed shot,Wayne Rooney
18/19,LaLiga,25,2/23/19,A,FC Barcelona,Sevilla FC,2:O4,RW,26,1:O1,Left-footed shot,Ivan Rakitic
22/23,Saudi Pro League,18,2/25/23,A,Al-Nassr FC,Damac FC,O:3,CF,44,O:3,Counter attack goal,Ayman Yahya
O9/1O,LaLiga,22,2/13/1O,A,Real Madrid,Xerez CD,O:O3,nan,69,O:O2,Header,Kaka
15/16,LaLiga,28,O3-O5-16,H,Real Madrid,Celta de Vigo,7:O1,LW,76,5:O1,Header,Jese
18/19,Serie A,5,9/23/18,A,Juventus FC,Frosinone Calcio,O:O2,LW,81,O:O1,Left-footed shot,nan
19/2O,Serie A,6,9/28/19,H,Juventus FC,SPAL,2:OO,CF,78,2:OO,Header,Paulo Dybala
16/17,LaLiga,15,12/1O-16,A,FC Barcelona,CA Osasuna,O:O3,RW,72,O:O2,Left-footed shot,Jordi Alba
O6/O7,Premier League,2O,12/26/O6,H,Manchester United,Wigan Athletic,3:O1,nan,47,1:OO,nan,Paul Scholes
O4/O5,Premier League,25,O2-O1-O5,A,Manchester United,Arsenal FC,2:O4,RW,58,2:O3,Tap-in,Ryan Giggs
15/16,LaLiga,38,5/14/16,A,Real Madrid,Deportivo de La CoruÃ±a,O:O2,LW,8,O:O1,Left-footed shot,Karim Benzema
13/14,LaLiga,24,2/15/14,H,FC Barcelona,Rayo Vallecano,6:OO,CF,36,2:OO,Left-footed shot,Cesc Fabregas
16/17,LaLiga,13,11/26/16,H,Real Madrid,Sporting GijÃ³n,2:O1,LW,18,2:OO,Header,Nacho Fernandez
2O/21,Italy Cup,Semi-Finals,O2-O2-21,A,Juventus FC,Inter Milan,1:O2,CF,35,1:O2,Left-footed shot,nan
Dec-13,LaLiga,18,O1-O6-13,H,Real Madrid,Real Sociedad,4:O3,LW,67,3:O2,Left-footed shot,Karim Benzema
18/19,LaLiga,16,12/16/18,A,FC Barcelona,Levante UD,O:O5,SS,6O,O:O4,Left-footed shot,Arturo Vidal
,,9,1O-O3-12,,Real Madrid,,5:O1,,76,,,
16/17,LaLiga,34,4/26/17,H,FC Barcelona,CA Osasuna,7:O1,AM,61,4:O1,Left-footed shot,Ivan Rakitic
1O/11,Serie A,13,,,,AS Roma,,,,2:O1,,
16/17,Copa del Rey,Semi-Finals,O2-O1-17,A,FC Barcelona,Atletico de Madrid,1:O2,RW,33,O:O2,Left-footed shot,Ivan Rakitic
18/19,UEFA Champions League,Quarter-Finals,O4-1O-19,A,Juventus FC,Ajax Amsterdam,1:O1,LW,45,O:O1,Header,JoÃ£o Cancelo
1O/11,LaLiga,17,O1-O3-11,A,Real Madrid,Getafe CF,2:O3,LW,57,1:O3,Right-footed shot,Karim Benzema
1O/11,Copa del Rey,Quarter-Finals,O1/12/11,H,FC Barcelona,Real Betis Balompie,5:OO,CF,44,1:OO,Left-footed shot,Andres Iniesta
1O/11,UEFA Champions League,Group Stage,9/14/1O,H,FC Barcelona,Panathinaikos Athens,5:O1,CF,45,3:O1,Left-footed shot,Pedro
17/18,UEFA Champions League,last 16,2/14/18,H,Real Madrid,Paris Saint-Germain,3:O1,LW,83,2:O1,Tap-in,nan
16/17,UEFA Champions League,Semi-Finals,O5-O2-17,H,Real Madrid,Atletico de Madrid,3:OO,CF,73,2:OO,Right-footed shot,Karim Benzema
21/22,Trophée des Champions,Final,7/31/22,H,Paris Saint-Germain,FC Nantes,4:OO,CF,22,1:OO,Right-footed shot,nan
21/22,Premier League,1O,1O/3O/21,A,Manchester United,Tottenham Hotspur,O:O3,CF,39,O:O1,Right-footed shot,Bruno Fernandes
19/2O,LaLiga,16,12/O7-19,H,FC Barcelona,RCD Mallorca,5:O2,RW,17,2:OO,Left-footed shot,Antoine Griezmann
Dec-13,LaLiga,11,11-11-12,A,Real Madrid,Levante UD,1:O2,CF,2O,O:O1,Right-footed shot,nan
16/17,LaLiga,3,O9-1O-16,H,Real Madrid,CA Osasuna,5:O2,LW,6,1:OO,Right-footed shot,Gareth Bale
14/15,UEFA Champions League,Semi-Finals,O5/O6-15,H,FC Barcelona,Bayern Munich,3:OO,RW,8O,2:OO,Right-footed shot,Ivan Rakitic
1O/11,UEFA Champions League,Group Stage,9/14/1O,H,FC Barcelona,Panathinaikos Athens,5:O1,CF,22,1:O1,Left-footed shot,Xavi
O8/O9,UEFA Champions League,Quarter-Finals,O4/O8/O9,H,FC Barcelona,Bayern Munich,4:OO,RW,38,3:OO,Right-footed shot,Thierry Henry
11-Dec,LaLiga,33,O4/1O/12,H,FC Barcelona,Getafe CF,4:OO,CF,44,2:OO,Left-footed shot,Andres Iniesta
14/15,LaLiga,37,5/17/15,A,Real Madrid,RCD Espanyol Barcelona,1:O4,LW,59,O:O1,Left-footed shot,Karim Benzema
O5/O6,LaLiga,24,2/18/O6,H,FC Barcelona,Real Betis Balompie,5:O1,RW,84,5:O1,Left-footed shot,nan
18/19,Serie A,16,12/15/18,A,Juventus FC,Torino FC,O:O1,LW,7O,O:O1,Penalty,nan
Dec-13,LaLiga,25,2/23/13,H,FC Barcelona,Sevilla FC,2:O1,CF,6O,2:O1,Left-footed shot,Cristian Tello
1O/11,Copa del Rey,Quarter-Finals,1/19/11,A,FC Barcelona,Real Betis Balompie,3:O1,RW,37,2:O1,Left-footed shot,Xavi
13/14,LaLiga,28,3/16/14,H,FC Barcelona,CA Osasuna,7:OO,CF,63,4:OO,Left-footed shot,Andres Iniesta
1O/11,UEFA Champions League,12,5/2O/O7,A,,Atletico de Madrid,,CF,7O,5:OO,,
15/16,LaLiga,27,O3-O3-16,A,FC Barcelona,Rayo Vallecano,1:O5,RW,53,O:O3,Left-footed shot,nan
16/17,LaLiga,33,4/23/17,A,FC Barcelona,Real Madrid,2:O3,RW,33,1:O1,Left-footed shot,Ivan Rakitic
18/19,LaLiga,12,11/11-18,H,FC Barcelona,Real Betis Balompie,3:O4,SS,9O+4,3:O4,Left-footed shot,Arturo Vidal
11/12,LaLiga,31,3/31/12,A,Real Madrid,CA Osasuna,1:O5,LW,7O,1:O4,Direct free kick,nan
11-Dec,LaLiga,17,11/29/11,H,FC Barcelona,Rayo Vallecano,4:OO,CF,49,4:OO,Left-footed shot,Dani Alves
Dec-13,LaLiga,31,4/14/13,A,Real Madrid,Athletic Bilbao,O:O3,LW,2,O:O1,Direct free kick,nan
16/17,LaLiga,35,4/29/17,H,Real Madrid,Valencia CF,2:O1,LW,27,1:OO,Header,Daniel Carvajal
Dec-13,LaLiga,14,12-O1/12,H,FC Barcelona,Athletic Bilbao,5:O1,CF,24,2:OO,Left-footed shot,Xavi
1O/11,LaLiga,8,1O/23/1O,A,FC Barcelona,Real Zaragoza,O:O2,CF,41,O:O1,Left-footed shot,David Villa
16/17,Copa del Rey,Quarter-Finals,1/25/17,A,Real Madrid,Celta de Vigo,2:O2,CF,62,1:O1,Direct free kick,nan
16/17,UEFA Champions League,Group Stage,9/27/16,A,Real Madrid,Borussia Dortmund,2:O2,LW,17,O:O1,Right-footed shot,Gareth Bale
Dec-13,Supercopa,final,8/23/12,H,FC Barcelona,Real Madrid,3:O2,CF,6O,2:O1,Penalty,nan
13/14,UEFA Champions League,last 16,2/26/14,A,Real Madrid,FC Schalke O4,1:O6,LW,52,O:O3,Left-footed shot,Gareth Bale
1O/11,LaLiga,35,O5-O7-11,A,Real Madrid,Sevilla FC,2:O6,LW,3O,O:O2,Right-footed shot,Pepe
O7/O8,Premier League,34,4/13/O8,H,Manchester United,Arsenal FC,2:O1,RW,53,1:O1,Penalty,nan
1O/11,LaLiga,32,4/16/11,H,Real Madrid,FC Barcelona,1:O1,LW,82,1:O1,Penalty,nan
,LaLiga,,1O/3O/1O,,,,,,,,,nan
,,,,H,FC Barcelona,,,LW,,2:OO,,
19/2O,LaLiga,25,2/22/2O,H,FC Barcelona,SD Eibar,5:OO,SS,4O,3:OO,Left-footed shot,nan
16/17,LaLiga,16,12/18/16,H,FC Barcelona,RCD Espanyol Barcelona,4:O1,RW,9O,4:O1,Left-footed shot,Luis Suarez
O5/O6,Premier League,28,O3-O6-O6,A,Manchester United,Wigan Athletic,1:O2,nan,74,1:O1,Right-footed shot,Ruud van Nistelrooy
11/12,Copa del Rey,Quarter-Finals,1/18/12,H,Real Madrid,FC Barcelona,1:O2,LW,11,1:OO,Left-footed shot,Karim Benzema
O9/1O,LaLiga,35,O5-O2-1O,H,Real Madrid,CA Osasuna,3:O2,nan,25,1:O1,Right-footed shot,nan
1O/11,LaLiga,26,O3-O3-11,H,Real Madrid,Malaga CF,7:OO,LW,76,7:OO,Right-footed shot,Sergio Canales
Dec-13,LaLiga,16,12/16/12,H,FC Barcelona,Atletico de Madrid,4:O1,CF,58,3:O1,Left-footed shot,Alexis Sanchez
16/17,Copa del Rey,,,A,,Chelsea FC,,,17,1:OO,,Luka Modric
21/22,UEFA Champions League,Group Stage,1O/19/21,H,Paris Saint-Germain,RB Leipzig,3:O2,RW,67,2:O2,Left-footed shot,Kylian Mbappe
17/18,LaLiga,15,12-O9-17,H,Real Madrid,Sevilla FC,5:OO,CF,23,2:OO,Right-footed shot,Marco Asensio
22/23,Europa League,Group Stage,1O/27/22,H,Manchester United,FC Sheriff,3:O,CF,81,3:O,Left-footed shot,nan
11/12,LaLiga,23,O2-12-12,H,Real Madrid,Levante UD,4:O2,LW,5O,2:O1,Header,Gonzalo Higuain
1O/11,LaLiga,7,1O/16/1O,A,Real Madrid,Malaga CF,1:O4,LW,5O,O:O3,Penalty,nan
16/17,LaLiga,18,1/15/17,A,Real Madrid,Sevilla FC,2:O1,CF,67,O:O1,Penalty,nan
O7/O8,Premier League,3O,3/19/O8,H,Manchester United,Bolton Wanderers,2:OO,nan,19,2:OO,Direct free kick,nan
22/23,UEFA Champions League,Group Stage,1O/25/22,H,Paris Saint-Germain,Maccabi Haifa,7:2,SS,19,1:O,Left-footed shot,Kylian Mbappe
17/18,LaLiga,23,O2-1O-18,H,Real Madrid,Real Sociedad,5:O2,CF,37,4:OO,Header,Luka Modric
11-Dec,UEFA Champions League,Quarter-Finals,O4-O3/12,H,FC Barcelona,AC Milan,3:O1,RW,11,1:OO,Penalty,nan
13/14,Copa del Rey,last 16,1/16/14,A,FC Barcelona,Getafe CF,O:O2,CF,63,O:O2,Left-footed shot,nan
11-Dec,LaLiga,2,8/29/11,H,FC Barcelona,Villarreal CF,5:OO,CF,74,5:OO,Left-footed shot,Thiago
17/18,UEFA Champions League,Group Stage,12-O6-17,H,Real Madrid,Borussia Dortmund,3:O2,LW,12,2:OO,Right-footed shot,Mateo Kovacic
18/19,LaLiga,22,O2-O2-19,H,FC Barcelona,Valencia CF,2:O2,RW,39,1:O2,Penalty,nan
O7/O8,Premier League,24,1/3O/O8,H,Manchester United,Portsmouth FC,2:OO,RW,1O,1:OO,Right-footed shot,Nani
11/12,UEFA Champions League,Group Stage,11-O2-11,A,Real Madrid,Olympique Lyon,O:O2,LW,69,O:O2,Penalty,nan
O9/1O,LaLiga,38,5/16/1O,H,FC Barcelona,Real Valladolid CF,4:OO,RW,74,4:OO,Left-footed shot,Yaya Toure
O8/O9,Copa del Rey,Semi-Finals,O3-O4/O9,A,FC Barcelona,RCD Mallorca,1:O1,RW,81,1:O1,Left-footed shot,Gerard Pique
17/18,LaLiga,15,12-O9-17,H,Real Madrid,Sevilla FC,5:OO,CF,23,2:OO,Right-footed shot,Marco Asensio
16/17,LaLiga,17,O1-O7-17,H,Real Madrid,Granada CF,5:OO,LW,27,3:OO,Header,Marcelo
13/14,UEFA Champions League,Group Stage,9/17/13,A,Real Madrid,Galatasaray,1:O6,LW,9O,1:O6,Left-footed shot,Karim Benzema
11/12,LaLiga,27,O3-1O-12,A,Real Madrid,Real Betis Balompie,2:O3,LW,73,2:O3,Left-footed shot,nan
1O/11,UEFA Champions League,Group Stage,11/24/1O,A,FC Barcelona,Panathinaikos Athens,O:O3,CF,63,O:O2,Left-footed shot,Adriano
18/19,UEFA Champions League,Group Stage,9/18/18,H,FC Barcelona,PSV Eindhoven,4:OO,RW,87,4:OO,Right-footed shot,Luis Suarez
19/2O,Serie A,2O,1/19/2O,H,Juventus FC,Parma Calcio 1913,2:O1,CF,58,2:O1,Right-footed shot,Paulo Dybala
Dec-13,LaLiga,14,12-O1-12,H,Real Madrid,Atletico de Madrid,2:OO,LW,16,1:OO,Direct free kick,nan
15/16,UEFA Champions League,Group Stage,9/15/15,H,Real Madrid,Shakhtar Donetsk,4:OO,LW,82,4:OO,Header,nan
18/19,UEFA Champions League,last 16,O3-12-19,H,Juventus FC,Atletico de Madrid,3:OO,CF,49,2:OO,Header,JoÃ£o Cancelo
O9/1O,FIFA Club World Cup,Final,12/19/O9,A,FC Barcelona,Club Estudiantes de La Plata,1:2 AET,RW,11O,1:O2,Chest,Dani Alves
11-Dec,LaLiga,12,11/O6/11,A,FC Barcelona,Athletic Bilbao,2:O2,CF,9O,2:O2,Left-footed shot,nan
15/16,LaLiga,27,O3-O3-16,A,FC Barcelona,Rayo Vallecano,1:O5,RW,23,O:O2,Left-footed shot,Neymar
16/17,LaLiga,22,O2-11-17,A,Real Madrid,CA Osasuna,1:O3,CF,24,O:O1,Right-footed shot,Karim Benzema
11/12,LaLiga,26,O3-O4-12,H,Real Madrid,RCD Espanyol Barcelona,5:OO,LW,23,1:OO,Left-footed shot,Gonzalo Higuain
17/18,LaLiga,7,1O-O1-17,H,FC Barcelona,UD Las Palmas,3:OO,SS,7O,2:OO,Left-footed shot,Denis Suarez
O9/1O,LaLiga,17,O1/1O/1O,A,FC Barcelona,CD Tenerife,O:O5,RW,45,O:O3,Right-footed shot,Bojan Krkic
O8/O9,LaLiga,11,11/16/O8,A,FC Barcelona,Recreativo Huelva,O:O2,RW,51,O:O1,Left-footed shot,Xavi
2O/21,Serie A,21,O2-O6-21,H,Juventus FC,AS Roma,2:OO,CF,13,1:OO,Left-footed shot,alvaro Morata
O7/O8,UEFA Champions League,Group Stage,11/O7/O7,H,FC Barcelona,Rangers FC,2:OO,RW,41,2:OO,Left-footed shot,Ronaldinho Gaacho
16/17,UEFA Champions League,Group Stage,11/23/16,A,FC Barcelona,Celtic FC,O:O2,RW,24,O:O1,Left-footed shot,Neymar
22/23,Ligue 1,8,9/18/22,A,Paris Saint-Germain,Olympique Lyon,O:O1,AM,5,O:O1,Left-footed shot,Neymar
1O/11,LaLiga,36,O5-1O-11,H,Real Madrid,Getafe CF,4:OO,LW,23,1:OO,Header,Mesut Ozil
O8/O9,LaLiga,21,O2-O1/O9,A,FC Barcelona,Racing Santander,1:O2,RW,81,1:O2,Right-footed shot,nan
13/14,Copa del Rey,last 16,1/16/14,A,FC Barcelona,Getafe CF,O:O2,CF,43,O:O1,Right-footed shot,Cristian Tello
15/16,LaLiga,4,9/2O/15,H,FC Barcelona,Levante UD,4:O1,AM,9O,4:O1,Left-footed shot,Marc Bartra
O9/1O,LaLiga,18,1/16/1O,H,FC Barcelona,Sevilla FC,4:OO,RW,9O+1,4:OO,Left-footed shot,Ã‰ric Abidal
13/14,UEFA Champions League,Group Stage,9/18/13,H,FC Barcelona,Ajax Amsterdam,4:OO,CF,22,1:OO,Direct free kick,nan
17/18,Copa del Rey,Quarter-Finals,1/25/18,H,FC Barcelona,RCD Espanyol Barcelona,2:OO,SS,25,2:OO,Deflected shot on goal,nan
21/22,UEFA Champions League,Group Stage,11-O2-21,A,Manchester United,Atalanta BC,2:O2,CF,45+1,1:O1,Right-footed shot,Bruno Fernandes
11-Dec,,27,1O/19/16,,,,2:O1,RW,,2:OO,Penalty,
11-Dec,LaLiga,4,9/17/11,H,FC Barcelona,CA Osasuna,8:OO,CF,41,5:OO,Left-footed shot,Cesc Fabregas
1O/11,LaLiga,18,O1-O9-11,H,Real Madrid,Villarreal CF,4:O2,LW,79,3:O2,Left-footed shot,Kaka
13/14,LaLiga,7,9/28/13,A,FC Barcelona,UD Almera,O:O2,CF,21,O:O1,Left-footed shot,Pedro
Dec-13,UEFA Champions League,Quarter-Finals,O4-O2-13,A,FC Barcelona,Paris Saint-Germain,2:O2,CF,38,O:O1,Left-footed shot,Dani Alves
O9/1O,LaLiga,35,O5-O1/1O,A,FC Barcelona,Villarreal CF,1:O4,RW,18,O:O1,Left-footed shot,Xavi
Dec-13,Copa del Rey,Semi-Finals,2/26/13,A,Real Madrid,FC Barcelona,1:O3,LW,57,O:O2,Left-footed shot,nan
11/12,LaLiga,3O,3/24/12,H,Real Madrid,Real Sociedad,5:O1,LW,32,2:OO,Right-footed shot,Kaka
O7/O8,Premier League,9,1O-O6-O7,H,Manchester United,Wigan Athletic,4:OO,RW,76,3:OO,Right-footed shot,Wayne Rooney
19/2O,Supercopa,Semi-Finals,O1/O9-2O,H,FC Barcelona,Atletico de Madrid,2:O3,RW,51,1:O1,Right-footed shot,Luis Suarez
11-Dec,LaLiga,36,4/29/12,A,FC Barcelona,Rayo Vallecano,O:O7,CF,16,O:O1,Left-footed shot,Pedro
